compile_time,runtime,category
0.7380254895910255,61.660144795980116,TPDE
0.8040329876120225,58.06763090276595,TPDE
0.8575251813786543,51.588893623246314,TPDE
0.9398293387770603,50.6960194136032,TPDE
0.9536582307187538,48.487372708205754,TPDE
9.346670767426287,47.25894924092895,LLVM-O0
9.525054688839043,47.035536121764714,LLVM-O0
10.899599875433251,45.57776009000017,LLVM-O0
11.586016816145353,43.31857351629606,LLVM-O0
76.98078835264415,32.11020260875703,LLVM-O1
79.32557899960123,28.956961489267027,LLVM-O1
79.60767822239899,22.93081982876036,LLVM-O1
86.95530499495146,20.702977624649954,LLVM-O1
